Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2018-01-01,Bengaluru,Higher Education,"Nikhil Jain, Ashwini Jain",Unicorn India Ventures,Seed,ForeignAdmits,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,400000.0
2019-01-01,Bengaluru,Financial Services,"Ankit Parasher, Udita Pal","Prashant Pansare, Supermorpheus",Series H,SALT,Salt is a neo-banking experience created to cater to international businesses.,500000.0
2014-01-01,Pune,Financial Services,Rajesh P Nair,Alteria Capital,Series B+,EarnWealth,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",500000.0
2015-01-01,New Delhi,"Health, Wellness & Fitness",Nitish Mittersain,Docprime Technologies,Fresh Funding,Visit Health,"Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.",7500000.0
2020-01-01,Bengaluru,Media,"Vignesh Prasad, Vivan Puri",LC Nueva AIF,Seed,Crater.Club,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",700000.0
2021-01-01,Gurugram,NFT,Toshendra Sharma,"Nitish Mittersain, Gaurav Munjal",Seed,NFTically,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.",1000000.0
2020-01-01,Bengaluru,B2B,Utkarsh Apoorva,"9Unicorns, Venture Catalysts, Sandeep Singhal",Series A,ReshaMandi,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.",30000000.0
2018-01-01,Bengaluru,Mechanical Or Industrial Engineering,Amrit Acharya,TradeCred,Series D,Zetwerk,ZETWERK is a universal manufacturing network powered by new-age technology.,600000000.0
2020-01-01,Ahmedabad,Software Startup,"Mayank Agarwal, Vaibhav Jain",Alkeon Capital,Series B,Hubilo,Hubilo is the leading hybrid event platform built for engagement and event excellence.,125000000.0
2015-01-01,Chennai,Financial Services,Saurabh Saxena,Tiger Global,Series C,M2P Fintech,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",35000000.0
2017-01-01,Bengaluru,Financial Services,Anish Achuthan,"Temasek, Google, SBI Investment",Series C,Open Financial Technologies,Open is Asia’s first neobanking platform for SMEs and startups.,90000000.0
2021-01-01,Bengaluru,Financial Services,"Aditya Kumar, Sankalp Mathur",Elevar Equity,Seed,Niro,Embedding personal credit products into leading consumer internet platforms.,3500000.0
